# Created by ield								
# On 11,11,2020								
# unit: meters								
# design frequency: 60000000 Hz								
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1,1	-0.022365	-0.022365	0	0	-16.1029	0	0	0
1,2	-0.019865	-0.022365	0	0	-23.7044	0	0	0
1,3	-0.017365	-0.022365	0	0	-31.3059	0	0	0
1,4	-0.014865	-0.022365	0	1	-38.9073	0	0	0
1,5	-0.012365	-0.022365	0	1	-46.5088	0	0	0
1,6	-0.0098652	-0.022365	0	1	-54.1103	0	0	0
1,7	-0.0073652	-0.022365	0	1	-61.7117	0	0	0
1,8	-0.0048652	-0.022365	0	1	-69.3132	0	0	0
1,9	-0.0023652	-0.022365	0	0	-76.9146	0	0	0
1,10	0.00013482	-0.022365	0	0	-84.5161	0	0	0
1,11	0.0026348	-0.022365	0	1	-92.1176	0	0	0
1,12	0.0051348	-0.022365	0	1	-99.719	0	0	0
1,13	0.0076348	-0.022365	0	1	-107.3205	0	0	0
1,14	0.010135	-0.022365	0	1	-114.922	0	0	0
1,15	0.012635	-0.022365	0	1	-122.5234	0	0	0
1,16	0.015135	-0.022365	0	1	-130.1249	0	0	0
1,17	0.017635	-0.022365	0	1	-137.7264	0	0	0
1,18	0.020135	-0.022365	0	1	-145.3278	0	0	0
2,1	-0.022365	-0.019865	0	1	-23.7044	0	0	0
2,2	-0.019865	-0.019865	0	1	-30.4059	0	0	0
2,3	-0.017365	-0.019865	0	1	-37.1073	0	0	0
2,4	-0.014865	-0.019865	0	1	-43.8088	0	0	0
2,5	-0.012365	-0.019865	0	1	-50.5103	0	0	0
2,6	-0.0098652	-0.019865	0	1	-57.2117	0	0	0
2,7	-0.0073652	-0.019865	0	1	-63.9132	0	0	0
2,8	-0.0048652	-0.019865	0	0	-70.6146	0	0	0
2,9	-0.0023652	-0.019865	0	1	-77.3161	0	0	0
2,10	0.00013482	-0.019865	0	0	-84.0176	0	0	0
2,11	0.0026348	-0.019865	0	0	-90.719	0	0	0
2,12	0.0051348	-0.019865	0	1	-97.4205	0	0	0
2,13	0.0076348	-0.019865	0	0	-104.122	0	0	0
2,14	0.010135	-0.019865	0	0	-110.8234	0	0	0
2,15	0.012635	-0.019865	0	0	-117.5249	0	0	0
2,16	0.015135	-0.019865	0	1	-124.2264	0	0	0
2,17	0.017635	-0.019865	0	1	-130.9278	0	0	0
2,18	0.020135	-0.019865	0	1	-137.6293	0	0	0
3,1	-0.022365	-0.017365	0	1	-31.3059	0	0	0
3,2	-0.019865	-0.017365	0	1	-37.1073	0	0	0
3,3	-0.017365	-0.017365	0	1	-42.9088	0	0	0
3,4	-0.014865	-0.017365	0	1	-48.7103	0	0	0
3,5	-0.012365	-0.017365	0	0	-54.5117	0	0	0
3,6	-0.0098652	-0.017365	0	1	-60.3132	0	0	0
3,7	-0.0073652	-0.017365	0	0	-66.1146	0	0	0
3,8	-0.0048652	-0.017365	0	1	-71.9161	0	0	0
3,9	-0.0023652	-0.017365	0	1	-77.7176	0	0	0
3,10	0.00013482	-0.017365	0	1	-83.519	0	0	0
3,11	0.0026348	-0.017365	0	1	-89.3205	0	0	0
3,12	0.0051348	-0.017365	0	1	-95.122	0	0	0
3,13	0.0076348	-0.017365	0	1	-100.9234	0	0	0
3,14	0.010135	-0.017365	0	1	-106.7249	0	0	0
3,15	0.012635	-0.017365	0	1	-112.5264	0	0	0
3,16	0.015135	-0.017365	0	0	-118.3278	0	0	0
3,17	0.017635	-0.017365	0	1	-124.1293	0	0	0
3,18	0.020135	-0.017365	0	1	-129.9308	0	0	0
4,1	-0.022365	-0.014865	0	1	-38.9073	0	0	0
4,2	-0.019865	-0.014865	0	1	-43.8088	0	0	0
4,3	-0.017365	-0.014865	0	1	-48.7103	0	0	0
4,4	-0.014865	-0.014865	0	1	-53.6117	0	0	0
4,5	-0.012365	-0.014865	0	0	-58.5132	0	0	0
4,6	-0.0098652	-0.014865	0	1	-63.4146	0	0	0
4,7	-0.0073652	-0.014865	0	1	-68.3161	0	0	0
4,8	-0.0048652	-0.014865	0	1	-73.2176	0	0	0
4,9	-0.0023652	-0.014865	0	1	-78.119	0	0	0
4,10	0.00013482	-0.014865	0	1	-83.0205	0	0	0
4,11	0.0026348	-0.014865	0	1	-87.922	0	0	0
4,12	0.0051348	-0.014865	0	1	-92.8234	0	0	0
4,13	0.0076348	-0.014865	0	1	-97.7249	0	0	0
4,14	0.010135	-0.014865	0	1	-102.6264	0	0	0
4,15	0.012635	-0.014865	0	1	-107.5278	0	0	0
4,16	0.015135	-0.014865	0	1	-112.4293	0	0	0
4,17	0.017635	-0.014865	0	0	-117.3308	0	0	0
4,18	0.020135	-0.014865	0	1	-122.2322	0	0	0
5,1	-0.022365	-0.012365	0	1	-46.5088	0	0	0
5,2	-0.019865	-0.012365	0	1	-50.5103	0	0	0
5,3	-0.017365	-0.012365	0	0	-54.5117	0	0	0
5,4	-0.014865	-0.012365	0	1	-58.5132	0	0	0
5,5	-0.012365	-0.012365	0	1	-62.5146	0	0	0
5,6	-0.0098652	-0.012365	0	0	-66.5161	0	0	0
5,7	-0.0073652	-0.012365	0	1	-70.5176	0	0	0
5,8	-0.0048652	-0.012365	0	1	-74.519	0	0	0
5,9	-0.0023652	-0.012365	0	0	-78.5205	0	0	0
5,10	0.00013482	-0.012365	0	1	-82.522	0	0	0
5,11	0.0026348	-0.012365	0	1	-86.5234	0	0	0
5,12	0.0051348	-0.012365	0	1	-90.5249	0	0	0
5,13	0.0076348	-0.012365	0	0	-94.5264	0	0	0
5,14	0.010135	-0.012365	0	1	-98.5278	0	0	0
5,15	0.012635	-0.012365	0	1	-102.5293	0	0	0
